student_id,age,year_of_study,cgpa,attendance,hours_studied,previous_gpa,internship_experience,projects_completed,certifications,online_courses,study_consistency,success_score,success
S044,25,2,7.69,81.3,3.3,4.57,No,5,3,6,Medium,5.994777777777778,1
S045,21,1,7.4,94.3,9.7,8.3,Yes,7,1,2,Low,6.791722222222223,1
S046,21,4,5.97,80.8,5.4,7.61,No,3,3,1,High,5.385055555555555,0
S047,25,1,4.62,61.6,8.3,4.34,Yes,7,0,0,Medium,4.506222222222222,0
S048,24,4,7.69,51.2,6.0,7.54,No,1,1,2,Medium,4.9782777777777785,0
S049,23,2,6.86,93.5,1.4,6.72,No,9,3,7,Medium,6.449166666666667,1
S050,23,3,8.25,51.1,6.7,4.41,Yes,8,0,3,Medium,5.499,0
S051,24,1,6.86,93.7,9.6,6.29,Yes,8,2,4,Low,6.959388888888888,1
S052,23,4,8.69,76.4,6.4,6.42,Yes,7,2,5,Low,6.716833333333334,1
S053,20,1,7.04,97.0,8.4,4.83,No,9,4,1,High,6.836666666666666,1
S054,21,4,7.09,89.9,9.0,8.73,No,9,1,7,High,7.416,1
S055,24,1,8.82,99.9,3.1,8.25,Yes,0,2,5,Medium,6.110166666666667,1
S056,21,4,6.22,67.5,2.9,7.35,No,1,1,4,Low,4.619166666666667,0
S057,25,4,4.74,88.4,6.5,6.31,No,5,2,7,Medium,5.962111111111112,1
S058,18,2,4.16,70.1,4.7,6.06,Yes,9,4,6,High,5.919833333333333,1
S059,20,4,8.15,74.0,8.6,7.25,Yes,4,3,6,High,6.993055555555555,1
S060,22,2,7.41,81.4,9.1,6.73,No,8,4,5,Low,7.4112777777777765,1
S061,20,4,7.87,93.7,4.2,4.31,No,4,0,3,Low,5.25688888888889,0
S062,24,3,5.17,99.2,3.1,6.56,No,1,2,7,High,5.349388888888889,0
S063,22,3,4.75,88.4,8.0,8.03,Yes,9,0,2,Medium,5.755722222222222,1
S064,18,3,4.08,70.9,3.5,6.3,Yes,3,0,7,Low,4.483499999999999,0
S065,24,4,5.93,71.1,8.4,4.26,No,8,1,3,Low,5.657333333333334,1
S066,19,2,7.24,86.9,4.8,7.93,Yes,0,2,7,Medium,5.989611111111111,1
S067,21,2,6.16,61.9,7.0,5.01,Yes,0,0,5,High,4.700166666666666,0
S068,18,4,6.41,55.5,1.9,5.29,Yes,6,3,3,High,4.882777777777777,0
S069,21,3,8.97,67.7,6.6,4.82,No,2,0,4,Medium,5.483555555555556,0
S070,23,3,5.92,64.4,5.1,5.65,No,9,3,1,Medium,5.463777777777777,0
S071,19,2,6.83,64.8,6.3,7.78,No,1,1,3,Low,5.163944444444445,0
S072,19,3,8.31,61.7,2.5,6.6,No,8,0,7,Medium,5.786333333333333,1
S073,18,1,6.18,52.1,7.6,5.02,Yes,2,4,4,Medium,5.524277777777779,1
S074,19,2,7.42,50.9,8.8,8.39,No,1,1,1,Medium,5.295722222222222,0
S075,22,3,8.74,99.4,3.0,8.4,Yes,7,3,6,Medium,7.109333333333334,1
S076,19,2,9.22,71.4,1.9,8.35,No,9,1,2,Low,5.938777777777779,1
S077,21,1,4.81,69.2,1.2,5.19,No,5,0,5,Low,4.122166666666667,0
S078,21,2,9.1,84.0,6.8,6.26,No,5,2,7,Medium,7.025555555555556,1
S079,24,2,6.71,60.9,6.5,8.92,Yes,9,2,7,Low,6.732111111111111,1
S080,21,2,5.42,97.5,5.9,7.86,No,6,3,6,Low,6.525833333333333,1
S081,24,2,6.53,89.3,3.1,4.14,Yes,6,3,2,High,5.3469999999999995,0
S082,21,1,9.39,54.5,4.5,4.33,No,5,2,6,Medium,5.971111111111111,1
S083,22,4,6.71,70.9,6.4,6.32,No,3,3,0,Medium,5.303222222222223,0
S084,25,2,5.81,94.0,5.5,8.55,No,8,1,6,High,6.3875,1
S085,24,2,7.48,97.2,9.9,6.69,No,5,4,4,High,7.356333333333334,1
S086,20,3,5.32,73.4,2.2,6.49,No,3,4,1,Medium,4.707111111111111,0
S087,23,2,4.42,80.7,7.3,4.53,Yes,2,1,7,High,5.188833333333333,0
S088,18,3,4.71,58.4,4.6,7.28,No,3,4,6,Medium,5.402388888888889,0
S089,21,4,4.7,99.6,4.9,8.11,Yes,2,0,7,Medium,5.380111111111111,0
S090,19,1,4.84,61.6,7.5,5.9,No,1,1,3,Medium,4.589555555555556,0
S091,25,1,4.76,97.1,7.2,7.88,No,4,3,2,Medium,5.852055555555555,1
S092,21,4,7.52,82.5,9.9,8.82,No,1,1,6,Medium,6.6324999999999985,1
S093,19,1,5.0,80.4,2.2,5.02,No,5,2,1,Medium,4.368777777777778,0
S094,23,4,5.9,75.6,1.9,6.62,No,2,3,4,Low,4.929555555555556,0
S095,23,4,8.93,61.5,7.5,5.44,Yes,5,2,0,Medium,5.7844444444444445,1
S096,23,4,6.61,58.8,6.2,7.96,No,9,3,7,Low,6.723944444444444,1
S097,19,1,7.67,61.0,3.5,6.89,Yes,8,4,2,Medium,5.973055555555555,1
S098,21,3,4.95,59.3,1.7,7.17,No,0,1,5,Medium,4.003666666666667,0
S099,23,4,5.06,89.0,1.8,7.99,Yes,5,0,1,High,4.382777777777777,0
S100,22,2,4.22,67.5,9.0,5.98,Yes,8,3,5,High,6.106944444444444,1
S101,24,1,4.93,52.9,2.7,8.58,No,3,3,1,High,4.4093333333333335,0
S102,19,4,5.53,98.5,3.9,6.67,Yes,1,2,1,Medium,4.811111111111112,0
S103,19,4,4.97,94.2,3.0,4.79,No,3,4,4,High,5.237722222222222,0
S104,21,2,4.49,96.4,4.2,7.48,Yes,0,2,4,Medium,4.929611111111111,0
S105,19,3,4.66,99.7,1.6,7.97,Yes,2,2,4,Low,4.886055555555556,0
S106,19,3,6.53,58.7,5.7,5.58,No,9,4,6,Low,6.438,1
S107,23,3,5.13,69.8,1.6,8.29,Yes,8,0,3,Low,4.665611111111111,0
S108,21,4,6.0,87.9,8.2,8.53,Yes,9,2,1,Medium,6.421277777777779,1
S109,23,4,6.77,84.8,3.1,5.38,No,4,2,2,Medium,5.077277777777778,0
S110,24,4,7.8,57.7,5.9,8.92,Yes,5,3,5,High,6.416611111111111,1
S111,25,1,4.22,90.8,8.9,4.7,No,2,4,4,Low,5.774222222222222,1
S112,24,2,8.4,61.2,6.9,5.01,Yes,4,1,6,Low,5.959666666666667,1
S113,25,4,7.45,61.2,5.8,4.92,Yes,7,0,4,High,5.397166666666667,0
S114,23,2,4.45,76.8,3.9,8.47,No,5,0,5,Low,4.915611111111112,0
S115,24,2,8.8,79.6,4.0,7.27,Yes,3,4,5,Medium,6.526777777777778,1
S116,21,3,9.06,79.0,7.0,4.76,Yes,1,3,7,Medium,6.603888888888888,1
S117,18,1,4.34,54.6,9.9,6.2,Yes,8,3,1,Medium,5.602888888888889,1
S118,23,4,5.52,93.9,7.0,7.08,Yes,0,4,4,Low,5.925166666666666,1
S119,25,3,8.43,63.3,6.0,4.42,No,0,3,5,Low,5.673111111111111,1
S120,22,3,8.12,56.5,7.6,8.41,Yes,3,0,3,Low,5.626944444444444,1
S121,25,4,5.01,94.4,5.2,8.02,No,6,0,3,Medium,5.314611111111111,0
S122,22,2,5.15,97.8,1.5,6.53,No,0,1,4,Medium,4.405055555555556,0
S123,19,3,6.04,93.1,6.1,8.84,No,8,4,6,Low,7.153722222222222,1
S124,24,2,6.66,90.5,9.6,6.09,No,3,2,5,Medium,6.464166666666667,1
S125,22,1,7.4,82.8,2.6,8.92,Yes,2,2,7,High,5.948111111111112,1
S126,25,2,6.03,77.5,7.2,7.34,No,0,1,1,Low,4.890555555555556,0
S127,19,1,6.54,54.3,2.8,7.17,Yes,9,1,1,Medium,4.891166666666667,0
S128,18,2,8.11,70.4,5.8,4.83,No,3,3,6,Medium,6.140166666666666,1
S129,21,3,4.2,68.6,1.9,8.41,No,8,1,7,Low,5.173444444444444,0
S130,21,3,5.39,63.0,5.1,6.14,Yes,9,1,1,Medium,4.964722222222222,0
S131,21,1,7.92,86.2,7.8,4.81,No,5,2,7,Medium,6.7524444444444445,1
S132,22,4,8.92,74.8,4.1,4.06,No,5,3,0,High,5.518111111111111,1
S133,18,1,6.81,54.1,7.0,6.8,Yes,0,1,4,High,5.019555555555556,0
S134,22,1,6.93,61.0,8.2,6.64,Yes,9,1,1,Medium,5.840277777777778,1
S135,24,2,4.59,84.2,9.3,7.6,No,1,3,3,High,5.724944444444444,1
S136,22,2,6.46,53.8,3.1,8.45,No,5,4,5,Medium,5.7508888888888885,1
S137,18,1,6.93,92.6,4.6,4.4,No,1,3,7,Medium,5.875388888888889,1
S138,18,3,5.33,74.8,2.4,7.66,No,2,2,7,Medium,5.140611111111111,0
S139,24,2,5.48,74.0,9.9,4.94,No,3,4,2,Low,5.863888888888889,1
S140,18,4,6.08,79.6,9.3,8.29,No,4,0,6,High,6.1801111111111116,1
S141,25,2,4.11,91.2,5.9,8.1,Yes,8,3,2,Medium,5.830500000000001,1
S142,18,2,5.77,67.4,8.6,6.7,Yes,3,2,1,Medium,5.312944444444445,0
S143,21,4,5.16,83.9,5.7,7.55,No,8,4,2,High,6.092388888888888,1
S144,25,1,5.8,78.3,6.6,5.57,No,9,3,2,Low,5.983388888888888,1
S145,25,4,4.66,63.4,1.8,6.36,Yes,2,1,0,Medium,3.492666666666667,0
S146,24,1,8.9,93.9,7.8,8.11,Yes,7,3,7,Low,7.87961111111111,1
S147,20,1,7.26,89.9,2.1,6.3,No,0,0,3,High,4.5535,0
S148,20,1,7.74,82.9,8.4,5.79,No,8,3,6,High,7.231833333333333,1
S149,18,4,8.34,92.5,8.0,6.47,No,8,4,3,Medium,7.366388888888888,1
S150,25,1,6.74,93.4,7.4,8.14,No,9,4,0,Medium,6.8004444444444445,1
S151,20,3,4.48,85.4,1.3,5.68,Yes,1,3,0,Medium,3.9271111111111114,0
S152,20,4,6.95,91.9,3.7,4.87,Yes,3,4,2,High,5.562111111111111,1
S153,18,3,7.23,84.9,3.4,7.56,Yes,7,1,4,Medium,5.831,1
S154,20,1,8.1,84.0,4.2,8.13,Yes,6,3,7,Medium,6.893333333333333,1
S155,22,2,6.37,80.9,1.8,4.5,No,0,1,5,High,4.401,0
S156,19,1,4.7,87.6,9.4,5.2,No,4,1,7,Low,5.951777777777778,1
S157,24,3,5.56,57.9,6.0,4.71,No,6,2,5,Low,5.3068333333333335,0
S158,19,3,6.0,94.0,3.7,5.74,No,3,3,2,Medium,5.252777777777777,0
S159,18,4,7.55,93.6,4.6,6.25,Yes,0,4,5,High,6.100944444444445,1
S160,21,2,7.14,51.5,5.0,7.74,No,8,1,0,Medium,5.1675,0
S161,24,4,5.96,91.3,6.4,7.26,No,4,2,3,Low,5.801166666666667,1
S162,18,3,9.43,56.4,5.6,7.1,No,1,3,5,Medium,6.157388888888888,1
S163,25,1,7.33,66.8,9.3,5.76,Yes,7,3,7,Medium,7.044499999999999,1
S164,21,2,5.3,87.2,5.5,8.21,No,1,0,6,Low,5.2202222222222225,0
S165,19,1,4.56,58.0,9.9,6.36,No,2,0,2,Medium,4.651666666666666,0
S166,18,1,4.84,90.9,8.7,8.9,Yes,9,1,4,High,6.467388888888889,1
S167,25,2,5.35,91.6,2.9,7.17,Yes,0,0,2,Medium,4.1931666666666665,0
S168,24,4,4.88,75.4,9.4,4.63,No,1,1,1,Medium,4.700444444444445,0
S169,24,1,5.03,50.3,2.0,7.38,No,6,4,2,Medium,4.782000000000001,0
S170,23,3,5.57,64.4,8.4,5.63,Yes,9,1,0,Low,5.344055555555556,0
S171,25,1,4.95,80.8,4.4,7.43,No,1,0,3,High,4.410055555555556,0
S172,22,2,8.93,99.1,8.9,4.35,Yes,5,4,3,Medium,7.2123333333333335,1
S173,20,2,4.44,81.6,8.8,4.87,No,2,0,6,Medium,5.145111111111112,0
S174,21,2,6.88,63.0,8.3,8.28,Yes,3,1,5,Medium,5.955,1
S175,25,4,6.26,81.7,8.1,5.14,No,7,2,0,Medium,5.676611111111111,1
S176,23,1,9.4,77.0,3.7,8.19,Yes,2,3,1,Medium,5.895,1
S177,20,4,4.62,89.0,1.7,5.4,Yes,9,0,0,Low,4.245,0
S178,20,4,6.19,55.3,4.6,7.21,Yes,5,1,2,High,4.818111111111111,0
S179,18,2,9.33,88.1,2.6,7.47,Yes,0,4,0,High,5.6739999999999995,1
S180,20,2,8.76,77.1,7.3,6.56,No,6,0,0,Medium,5.770388888888888,1
S181,22,4,8.49,98.1,4.1,5.53,Yes,7,0,6,High,6.273444444444445,1
S182,24,1,5.42,67.1,9.8,5.06,No,7,3,1,Low,5.818722222222222,1
S183,23,3,4.94,81.6,6.8,4.17,Yes,2,1,2,Medium,4.592333333333333,0
S184,20,4,7.68,96.6,8.4,5.52,Yes,9,2,4,Medium,7.042333333333334,1
S185,18,1,9.11,55.1,2.2,7.27,Yes,0,4,6,Medium,5.791777777777778,1
S186,22,2,7.06,96.9,8.8,8.69,Yes,8,1,4,Medium,7.0040555555555555,1
S187,19,2,7.14,84.4,9.3,8.36,Yes,5,4,6,Medium,7.424888888888889,1
S188,24,1,5.54,53.4,5.4,7.83,No,8,0,3,Low,5.041,0
S189,24,3,8.23,65.0,6.5,7.94,No,6,3,7,Medium,6.964722222222222,1
S190,23,2,5.03,85.4,7.9,7.32,No,0,3,6,Low,5.886833333333334,1
S191,24,2,5.78,53.4,2.6,5.3,No,0,2,5,High,4.249888888888889,0
S192,20,2,6.34,79.1,5.5,8.54,No,5,3,0,Low,5.645388888888888,1
S193,18,1,6.79,67.3,4.6,7.35,Yes,4,0,3,Low,4.988666666666666,0
S194,24,4,5.33,81.0,2.3,6.8,No,8,2,1,Medium,4.973055555555556,0
S195,24,2,4.63,52.3,4.3,4.55,No,1,1,4,Medium,3.8925555555555555,0
S196,19,4,7.36,93.6,1.6,6.24,No,7,3,7,High,6.352333333333333,1
S197,19,3,5.59,98.7,1.2,6.3,No,4,2,7,Medium,5.433000000000001,0
S198,21,2,7.2,98.4,2.2,8.32,Yes,1,0,6,Medium,5.380444444444445,0
S199,22,2,4.85,87.5,9.7,6.73,No,9,4,0,High,6.427777777777777,1
S200,20,3,6.65,56.5,5.9,5.9,No,5,4,1,Medium,5.475555555555556,0
S201,24,2,6.93,87.9,9.7,8.88,No,9,0,5,Low,7.017666666666667,1
S202,25,4,4.29,51.2,4.9,4.55,No,7,0,1,Medium,3.9060555555555556,0
S203,24,1,5.85,51.1,3.8,6.11,Yes,3,4,0,High,4.577888888888889,0
S204,18,4,4.74,66.2,5.6,4.21,Yes,1,2,5,Medium,4.610777777777778,0
S205,21,1,4.35,74.4,5.0,7.7,No,4,4,1,Low,5.134055555555555,0
S206,22,1,9.44,88.5,2.0,8.59,No,1,0,5,Low,5.666944444444444,1
S207,25,4,5.77,84.2,6.8,5.4,Yes,1,3,6,Low,5.775499999999999,1
S208,21,4,8.45,72.3,2.9,8.29,Yes,5,1,6,Medium,6.003111111111111,1
S209,23,4,5.4,63.7,6.6,5.46,Yes,9,3,0,Medium,5.402166666666666,0
S210,22,4,7.75,99.9,6.9,8.55,Yes,8,3,0,Low,6.821,1
S211,24,3,8.18,71.3,2.4,7.77,No,3,0,5,High,5.262833333333333,0
S212,24,2,7.28,72.6,1.6,8.02,No,5,4,2,High,5.590111111111111,1
S213,22,1,6.59,58.2,8.0,4.09,Yes,6,2,3,Medium,5.549944444444445,1
S214,24,4,6.27,89.7,5.1,8.81,Yes,5,3,7,High,6.631888888888889,1
S215,20,4,5.92,84.7,1.5,7.63,Yes,7,4,1,Low,5.448277777777777,0
S216,22,4,9.11,61.0,10.0,5.52,Yes,3,2,1,Medium,6.130833333333333,1
S217,21,3,8.57,54.1,1.5,8.15,No,0,3,2,Medium,4.934555555555556,0
S218,22,4,9.31,84.0,7.3,5.41,No,6,2,2,High,6.533611111111111,1
S219,25,4,4.68,82.7,9.9,8.36,No,2,4,2,High,6.074388888888889,1
S220,24,4,8.02,63.7,3.2,4.56,Yes,5,1,4,Low,5.147166666666666,0
S221,20,2,9.16,97.5,2.3,7.52,No,1,4,4,High,6.333055555555555,1
S222,20,3,5.0,57.6,2.1,6.7,No,8,0,5,Low,4.598444444444445,0
S223,23,4,4.37,71.6,3.7,4.48,No,0,2,4,High,4.119277777777778,0
S224,21,1,8.08,97.2,1.9,5.21,No,5,1,6,High,5.791888888888889,1
S225,19,1,7.16,71.0,7.2,4.06,Yes,5,2,6,Low,6.036111111111112,1
S226,19,1,8.63,81.9,1.6,6.34,Yes,4,2,0,High,5.1304444444444455,0
S227,22,3,4.77,69.9,5.6,5.51,Yes,4,3,7,Low,5.5682222222222215,1
S228,23,3,8.37,63.7,10.0,6.99,Yes,0,0,5,Medium,5.949666666666666,1
S229,18,1,5.11,99.2,8.3,5.49,Yes,9,2,7,Medium,6.795500000000001,1
S230,22,4,4.9,70.5,6.5,5.5,No,4,4,1,Medium,5.19361111111111,0
S231,23,3,4.9,94.7,3.8,7.72,No,1,4,3,High,5.348277777777779,0
S232,21,1,8.48,61.5,6.6,4.24,No,6,3,0,Medium,5.70361111111111,1
S233,21,1,7.66,60.7,5.7,8.51,Yes,2,0,1,Medium,4.9510555555555555,0
S234,21,4,6.88,51.6,4.8,8.26,No,3,0,1,High,4.556777777777777,0
S235,21,2,5.97,82.6,2.2,7.34,No,2,4,5,High,5.502055555555556,1
S236,21,3,8.82,68.4,9.0,6.97,No,2,1,2,Low,6.005444444444445,1
S237,23,4,6.16,93.2,5.0,8.46,No,3,3,2,High,5.7780000000000005,1
S238,23,1,8.49,73.7,2.8,4.93,No,4,3,7,Low,6.070777777777778,1
S239,20,1,6.42,98.4,4.3,4.39,No,0,4,0,High,5.013777777777778,0
S240,25,4,6.07,59.3,4.7,5.2,Yes,3,4,2,Low,5.039777777777777,0
S241,19,3,6.54,93.4,8.4,7.97,Yes,7,1,1,Low,6.206555555555556,1
S242,24,2,5.66,88.8,7.6,4.17,Yes,9,1,2,Medium,5.700333333333333,1
S243,21,2,8.11,88.5,7.9,6.91,Yes,6,0,4,Medium,6.407777777777778,1
S244,18,1,6.76,92.2,1.1,8.98,Yes,8,3,2,Medium,5.885777777777777,1
S245,24,3,5.28,88.1,4.7,8.28,No,4,3,1,Low,5.3915,0
S246,23,2,8.95,81.3,5.3,6.61,No,9,4,7,Medium,7.561444444444445,1
S247,18,3,6.11,56.6,1.2,4.32,No,3,0,5,High,3.9615,0
S248,18,3,6.99,51.6,3.3,8.16,Yes,7,3,0,Medium,5.223166666666666,0
S249,18,1,8.99,96.0,7.8,6.99,No,8,0,3,Low,6.809166666666666,1
S250,20,2,7.43,80.8,2.2,4.57,No,6,0,2,Medium,4.7572777777777775,0
S251,23,4,4.64,89.8,5.8,4.47,Yes,6,4,6,Low,6.023666666666667,1
S252,18,1,9.17,74.1,2.9,8.55,No,4,0,6,High,5.939,1
S253,21,2,7.45,55.9,1.1,7.35,Yes,3,1,7,High,5.057666666666666,0
S254,22,2,5.84,56.3,3.2,8.15,Yes,9,1,1,Medium,4.915055555555556,0
S255,18,2,4.77,84.3,9.8,8.39,No,0,2,3,Medium,5.634222222222222,1
S256,20,2,8.37,71.5,8.2,6.86,Yes,9,4,3,High,7.232222222222222,1
S257,24,2,7.41,60.0,9.6,6.59,No,9,2,4,Medium,6.724722222222223,1
S258,23,3,6.93,74.6,5.4,6.15,No,6,1,3,High,5.519833333333334,1
S259,25,1,8.92,53.2,2.0,5.58,No,0,2,6,Medium,5.098,0
S260,20,3,8.34,79.1,5.9,6.17,Yes,0,4,5,High,6.2670555555555545,1
S261,18,4,4.83,63.4,5.1,7.87,Yes,4,4,1,Medium,5.122944444444444,0
S262,23,2,5.71,89.9,8.6,7.01,Yes,8,0,1,Medium,5.769888888888889,1
S263,22,1,5.37,65.5,1.9,8.46,No,5,3,2,High,4.9,0
S264,18,2,8.09,72.8,5.4,6.22,No,2,0,2,Medium,5.065611111111111,0
S265,20,1,4.18,50.6,2.4,7.04,Yes,2,4,2,Medium,4.196222222222222,0
S266,19,3,7.13,53.6,3.9,7.16,No,6,1,6,Low,5.517055555555556,1
S267,21,1,8.19,69.6,7.6,6.96,No,5,1,6,Medium,6.454833333333334,1
S268,25,4,8.82,74.0,5.3,7.51,Yes,8,0,7,Medium,6.6194444444444445,1
S269,24,4,5.88,80.0,4.4,5.19,No,5,4,6,Low,5.956666666666667,1
S270,20,1,8.52,64.6,4.6,6.56,No,4,1,6,Low,5.867888888888889,1
S271,23,1,4.61,84.7,5.1,4.52,Yes,9,4,6,Medium,6.1402222222222225,1
S272,25,1,8.66,93.0,8.1,5.92,Yes,6,1,6,High,6.982777777777778,1
S273,25,1,4.7,89.0,9.0,6.44,No,0,4,5,Medium,6.000555555555556,1
S274,25,4,6.19,52.0,9.6,7.26,No,6,2,6,Low,6.324166666666667,1
S275,18,2,8.39,74.0,8.1,8.75,No,2,4,7,Medium,7.269722222222222,1
S276,21,1,4.82,55.2,3.8,7.0,No,8,4,3,Low,5.355777777777778,0
S277,18,1,5.26,62.1,7.2,7.72,Yes,5,0,3,Medium,5.059277777777778,0
S278,23,4,7.97,99.3,4.9,6.53,Yes,8,2,4,Low,6.642555555555556,1
S279,18,4,7.96,57.1,3.3,7.17,No,4,3,5,Low,5.763166666666667,1
S280,19,3,7.53,74.9,8.6,4.35,Yes,6,0,2,Low,5.629333333333333,1
S281,21,1,7.82,80.9,1.3,5.27,Yes,3,3,0,Medium,4.849055555555555,0
S282,21,3,6.98,85.1,9.1,5.81,No,6,1,6,Low,6.582055555555555,1
S283,23,4,5.38,78.0,5.2,6.36,No,0,3,4,Medium,5.101666666666667,0
S284,24,4,5.9,50.5,6.7,4.23,No,6,4,0,Medium,5.1075,0
S285,19,2,5.0,66.3,6.9,4.7,No,7,3,7,Medium,5.976722222222222,1
S286,20,1,9.0,75.9,9.1,5.38,Yes,4,0,3,Medium,6.126277777777778,1
S287,18,3,7.21,54.4,6.7,8.86,No,1,0,4,High,5.207944444444444,0
S288,22,4,6.2,67.5,6.5,5.66,Yes,4,3,7,Low,6.041388888888888,1
S289,18,4,6.54,51.7,1.6,6.41,No,5,0,4,Medium,4.362722222222223,0
S290,25,3,9.21,53.9,5.7,4.98,No,1,0,1,Low,4.7443333333333335,0
S291,18,2,4.84,69.8,2.4,7.05,No,5,3,7,Low,5.375333333333333,0
S292,20,4,7.22,56.6,7.6,5.4,No,5,2,3,Medium,5.6690000000000005,1
S293,18,1,6.78,78.4,5.6,5.03,No,0,2,3,Medium,5.04488888888889,0
S294,19,4,7.36,84.5,7.1,6.58,Yes,0,1,5,High,5.72861111111111,1
S295,19,1,4.1,90.0,1.4,4.03,No,9,0,4,Medium,4.432777777777778,0
S296,21,3,8.8,60.0,1.8,4.04,No,2,3,6,High,5.368888888888889,0
S297,23,1,9.13,58.4,7.4,5.1,Yes,9,0,3,Low,6.110166666666666,1
S298,24,3,7.11,55.2,1.6,4.18,No,9,4,4,Low,5.509944444444445,1
S299,22,1,7.83,81.8,1.6,4.54,No,2,0,5,Low,4.7539444444444445,0
S300,25,3,9.07,85.3,1.1,5.69,Yes,3,0,6,Low,5.394222222222223,0
S301,18,1,7.89,51.6,9.6,8.01,No,1,2,7,Medium,6.4515,1
S302,18,2,4.84,96.8,7.6,6.86,No,8,3,5,Medium,6.589222222222222,1
S303,20,1,7.17,52.6,4.2,6.56,No,9,0,1,Low,4.9653888888888895,0
S304,23,1,7.34,77.1,3.7,5.47,No,6,2,6,High,5.904277777777778,1
S305,19,2,6.33,85.5,4.1,8.66,No,6,1,4,High,5.742222222222223,1
S306,22,4,8.05,93.5,8.0,5.99,No,5,2,3,Low,6.555555555555556,1
S307,21,4,9.14,85.7,7.0,4.44,No,2,2,3,Low,6.0888333333333335,1
S308,19,1,9.09,90.1,2.7,7.09,Yes,5,2,4,Low,6.216777777777778,1
S309,25,2,6.48,67.0,2.6,4.57,No,7,0,4,Low,4.722777777777778,0
